"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"70362125516","2020-01-01T01:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.02","2","8","T","-SN:03 |SN |",,,"76","29.02","BKN:07 17 OVC:08 23","28.99","1.00","7","VRB","23","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11901/01/20 01:53:02 METAR PASO 011053Z 21007G20KT 1SM -SN BKN017 OVC023 M13/M17 A2902 RMK AO2 SLP826 P0000 T11331167 TSNO","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T02:04:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.02","3","8","T","-SN:03 |SN |",,,"80",,"VV:09 14","28.99","0.75","7","200","23","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10601/01/20 02:04:02 SPECI PASO 011104Z 20013G20KT 3/4SM -SN VV014 M13/M16 A2902 RMK AO2 P0000 T11331161 TSNO","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T02:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.03","2","7","T","-SN:03 |SN |","-0.03","2","80","29.03","VV:09 12","29.00","0.75","6","VRB","38","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET16101/01/20 02:53:02 METAR PASO 011153Z 19014G33KT 3/4SM -SN VV012 M14/M17 A2903 RMK AO2 PK WND 19033/1146 SLP832 P0000 60000 70075 T11391167 11100 21139 52010 TSNO","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T03:38:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.03","2","7","T","+SN:03 s |SN s |",,,"80",,"VV:09 8","29.00","0.25s","6","200","34","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12401/01/20 03:38:02 SPECI PASO 011238Z 20020G30KT 1/4SM +SN VV008 M14/M17 A2903 RMK AO2 PK WND 21030/1238 P0000 T11391167 TSNO","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T03:53:00","FM-15","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.03","3","7","T","|FG SN |",,,"84","29.03","7",,"0.25",,"VRB","29","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET131METAR PASO 011253Z AUTO 20014G25KT 160V230 1/4SM SN FZFG VV007 M14/M16 A2903 RMK AO2 PK WND 21030/1238 SLP832 P0000 T11391161 TSNO=","FM-15","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T04:10:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.04","3","7","T","SN:03 FZ:8 FG:2 |FG SN |",,,"84",,"VV:09 7","29.01","0.50","6","VRB","21","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11001/01/20 04:10:02 SPECI PASO 011310Z 19009G18KT 1/2SM SN FZFG VV007 M14/M16 A2904 RMK AO2 P0000 T11391161 TSNO","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T04:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.06","2","7","T","SN:03 s |SN s |s",,,"80","29.06","VV:09 9","29.03","0.50s","6","200","24","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11201/01/20 04:53:02 METAR PASO 011353Z 20012G21KT 1/2SM SN VV009 M14/M17 A2906 RMK AO2 SLP840 P0000 T11391167 TSNO","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T05:01:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.06","1","7","T","-SN:03 |SN |",,,"76",,"VV:09 11","29.03","0.75","6","190","25","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10601/01/20 05:01:02 SPECI PASO 011401Z 19010G22KT 3/4SM -SN VV011 M14/M17 A2906 RMK AO2 P0000 T11391172 TSNO","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T05:21:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.06","1","6","T","-SN:03 |SN |",,,"79",,"VV:09 15","29.03","1.00","5","VRB","20","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10401/01/20 05:21:02 SPECI PASO 011421Z VRB06G17KT 1SM -SN VV015 M14/M17 A2906 RMK AO2 P0000 T11441172 TSNO","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
"70362125516","2020-01-01T05:53:00","FM-15","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.07","0","6","T","|SN |","0.04","9","76","29.07",,,"1.50",,"190","18","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET123METAR PASO 011453Z AUTO 19008G16KT 1 1/2SM -SN BKN019 OVC025 M14/M18 A2907 RMK AO2 SLP844 P0000 60000 T11441178 51012 TSNO=","FM-15","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-30"
